mean,std,median,D,xmin,lambda
4.16520825,4.626655496,2,0.017749418,20,0.782664887
4.20788113,4.652623977,2,0.013452613,20,0.668220209
4.165691232,4.620244429,2,0.027024651,21,0.650880226
4.205352577,4.653801682,2,0.017923751,20,0.650210847
4.208676629,4.672379955,2,0.009085141,20,0.848799567
4.192510938,4.638403721,2,0.023282834,20,0.611235723
4.179868174,4.635918433,2,0.025223667,20,0.725493358
4.225978749,4.641639768,2,0.021377568,20,0.740468131
4.187936815,4.641619058,2,0.020225403,22,0.688293566
4.204784363,4.638674346,2,0.010973227,20,0.713385758
4.234331496,4.682750898,2,0.005208542,20,0.742618479
4.204443434,4.665073171,2,0.013978321,22,0.839450801
4.237655549,4.676126334,2,0.019941232,20,0.753443616
4.188703904,4.634926674,2,0.027374719,20,0.840606404
4.208903915,4.64299339,2,0.01805545,20,0.706775469
4.210409682,4.675168386,2,0.026842219,20,0.680567835
4.19660208,4.640595891,2,0.017538583,23,0.916307218
4.206375362,4.646394213,2,0.009950041,20,0.675866297
4.197795329,4.636122793,2,0.012260653,20,0.665032508
4.181629638,4.633593926,2,0.026261678,20,0.735449484
4.195664526,4.669932459,2,0.017193732,20,0.730035818
4.169555088,4.635905688,2,0.014836192,20,0.686145651
4.209443718,4.668187686,2,0.012485657,20,0.699767657
4.194499687,4.640702849,2,0.033638441,21,0.646333416
4.226575374,4.667195804,2,0.01577627,20,0.663437941
4.239161316,4.706061837,2,0.008305306,20,0.723344706
4.139951134,4.594873707,2,0.018626083,20,0.669654558
4.20265356,4.652317239,2,0.032653192,23,0.628615015
4.19015285,4.644245722,2,0.034236009,20,0.785291696
4.196346383,4.633999224,2,0.008132017,20,0.701358582
4.13012103,4.598951049,2,0.010772342,22,0.618295344
4.22924598,4.662473164,2,0.013094645,20,0.765389363
4.168560714,4.624986825,2,0.022264199,20,0.721113874
4.158020342,4.595821144,2,0.017728098,20,0.774784122
4.230922211,4.654385734,2,0.020043364,20,0.714744519
4.187198136,4.638403738,2,0.012688919,20,0.760056634
4.163333144,4.61136358,2,0.020705217,24,0.624159021
4.201687596,4.658858344,2,0.020863161,20,0.733297275
4.180067049,4.655934905,2,0.010000642,23,0.722114269
4.167083357,4.617890828,2,0.012575913,20,0.710360045
4.250781294,4.66878217,2,0.013973068,21,0.643070711
4.149951702,4.607112232,2,0.011371454,21,0.72016642
4.221745554,4.669314363,2,0.028775149,20,0.7604549
4.202795613,4.657117666,2,0.010310655,20,0.612908778
4.200437525,4.672479198,2,0.024152508,22,0.848985149
4.255298597,4.692861881,2,0.006503338,20,0.76292234
4.228677766,4.689441581,2,0.01701718,20,0.738076923
4.215523609,4.664617041,2,0.017103528,20,0.658733762
4.194357634,4.64980034,2,0.013885028,20,0.682719686
4.223933178,4.674333501,2,0.00997902,20,0.81275444
4.241178476,4.689124299,2,0.011935168,20,0.769210553
4.19660208,4.624214553,2,0.009880584,20,0.743093717
4.215608841,4.663769465,2,0.009256594,20,0.726050951
4.199414739,4.650802008,2,0.021683809,21,0.74873207
4.215892948,4.687423858,2,0.012545867,20,0.730033875
4.186431047,4.63515963,2,0.017056054,23,0.568671429
4.173021194,4.627582602,2,0.013185619,20,0.717132437
4.204415024,4.639747031,2,0.017296603,20,0.714982801
4.201176203,4.680236131,2,0.011733466,20,0.681681647
4.20629013,4.63318091,2,0.015711286,20,0.737599602
4.201971703,4.663965735,2,0.008257556,20,0.763636571
4.156230468,4.632502541,2,0.012651309,20,0.757747925
4.133132564,4.581460045,2,0.018848503,20,0.79444519
4.220438661,4.65911872,2,0.008810684,20,0.703512815
4.19540883,4.642776307,2,0.013535169,20,0.836784344
4.194812205,4.644389068,2,0.005409509,20,0.761489262
4.173560998,4.610114936,2,0.016634934,20,0.661128302
4.211574521,4.654307419,2,0.020648101,20,0.720316392
4.186260583,4.639804105,2,0.031342879,20,0.719761242
4.220097733,4.671588298,2,0.009954586,21,0.740021466
4.174157623,4.626318054,2,0.017341525,20,0.691798373
4.193704188,4.624711603,2,0.009811137,20,0.827556131
4.209699415,4.626234518,2,0.032876602,20,0.766983639
4.198249901,4.649205218,2,0.011644954,20,0.732900239
4.214273538,4.684196813,2,0.013992942,20,0.746599499
4.179498835,4.65172623,2,0.009353271,20,0.725014357
4.21191545,4.658623871,2,0.011826498,21,0.699097652
4.216944145,4.674991266,2,0.020752194,20,0.716335341
4.236320245,4.684658776,2,0.015490506,20,0.737996259
4.176998693,4.622419525,2,0.009103552,20,0.73441649
4.200892096,4.642049622,2,0.016061036,20,0.722866727
4.156372521,4.618182878,2,0.010708886,21,0.827963065
4.189016421,4.647961066,2,0.014492754,24,1.354522879
4.216603216,4.672472217,2,0.020217684,21,0.671809023
4.181998977,4.646300125,2,0.021722805,20,0.71290926
4.172822319,4.616812014,2,0.012538184,20,0.700166744
4.255156543,4.679176636,2,0.018432317,20,0.662959584
4.18734019,4.64081373,2,0.018939401,21,0.742594861
4.252798454,4.68595737,2,0.020027856,20,0.700963936
4.179669299,4.635126323,2,0.00456811,21,0.793427154
4.199215865,4.633370909,2,0.017092477,20,0.691721633
4.210239218,4.670579638,2,0.020946498,20,0.755675017
4.213904199,4.658130452,2,0.015294047,20,0.68638139
4.148815274,4.601354947,2,0.01455011,20,0.708128834
4.185550315,4.645233161,2,0.019862105,20,0.656746122
4.233024604,4.654927951,2,0.018099041,20,0.710360622
4.223364964,4.673527929,2,0.015826587,20,0.717769133
4.18370362,4.650835192,2,0.015217977,20,0.68231965
4.171600659,4.621627305,2,0.016156153,20,0.665668586
4.194442866,4.629923993,2,0.013831526,20,0.738635393
4.175407694,4.623322125,2,0.016442964,21,0.839244683
4.183504745,4.657072821,2,0.015835002,20,0.728758473
4.16557759,4.626485703,2,0.007537717,21,0.702281447
4.206915166,4.67562514,2,0.004937873,20,0.788793185
4.174669015,4.637443784,2,0.014081412,24,1.131392875
4.175748622,4.634761753,2,0.015519805,20,0.717369215
4.17850446,4.645484787,2,0.006366327,21,0.804560092
4.181658049,4.644619393,2,0.014610934,20,0.6905245
4.184555941,4.624053614,2,0.021260794,22,0.603029623
4.173901926,4.630621374,2,0.012620551,20,0.806863161
4.218222626,4.687146261,2,0.018966457,21,0.724184118
4.173958748,4.641086673,2,0.015612087,20,0.686942296
4.192084778,4.645921611,2,0.020407146,20,0.697537543
4.171032445,4.617712413,2,0.014003279,20,0.773748167
