mean,std,median,D,xmin,mu,sigma
4.199982954,4.647502135,2,0.014681392,21,2.795435211,0.12030938
4.186061708,4.624973165,2,0.017935481,21,2.53932318,0.17585558
4.169555088,4.60229827,2,0.025159165,20,2.859471378,0.11971212
4.17688505,4.637004437,2,0.017954081,22,2.776023119,0.120214536
4.210580147,4.635345165,2,0.029151216,20,2.851977495,0.114577743
4.225808285,4.656241647,2,0.019994277,20,2.832997755,0.122784564
4.185663958,4.646745166,2,0.015898423,21,2.59738041,0.159986038
4.195522473,4.632632943,2,0.014948625,22,-38.36712422,1.104254841
4.17000966,4.622067219,2,0.041712731,20,2.939193506,0.087922609
4.196346383,4.647308743,2,0.034093948,20,2.905115237,0.101564505
4.236206603,4.661440095,2,0.034200885,21,2.946666654,0.092837261
4.194812205,4.647544476,2,0.031015544,22,-53.57588597,1.508890838
4.212625717,4.648484375,2,0.024637833,21,2.850566468,0.119413779
4.150576737,4.595032434,2,0.013764375,23,2.58337321,0.120936759
4.187965225,4.649406292,2,0.022184392,21,2.839871705,0.108697657
4.191544974,4.639203155,2,0.023808682,22,2.922702493,0.096318076
4.194442866,4.640344015,2,0.029851646,21,2.870048458,0.108649484
4.197766919,4.633252093,2,0.014374503,23,2.89797229,0.098821409
4.177055515,4.604860943,2,0.007573078,21,2.26531325,0.195774696
4.17927155,4.636306166,2,0.053747003,2,1.284806364,0.967913012
4.181061424,4.619701445,2,0.026352758,21,2.873946852,0.103261569
4.191516563,4.638839933,2,0.02575417,19,2.832542015,0.12251055
4.185976476,4.630952832,2,0.024308282,21,2.764473548,0.126428576
4.172822319,4.632557226,2,0.009881521,21,1.928430134,0.239199706
4.204983238,4.641038299,2,0.031368732,20,2.864486393,0.112409257
4.222569464,4.639784251,2,0.024244422,20,2.822296186,0.124618455
4.177652139,4.616911763,2,0.025686871,20,2.860939258,0.107909415
4.15390079,4.618324351,2,0.027978169,21,2.923829116,0.095446119
4.220211376,4.664803119,2,0.020930923,21,2.247539304,0.207426754
4.196033866,4.613739177,2,0.048994438,21,2.989475275,0.073688518
4.200267061,4.635198484,2,0.030741226,23,2.874880629,0.09427172
4.195948633,4.631771606,2,0.034955013,22,2.951514679,0.076728414
4.191090403,4.63330845,2,0.017898344,21,2.831792358,0.111036114
4.170691517,4.63831472,2,0.027422056,20,2.819562826,0.119920127
4.213051878,4.673380264,2,0.051017551,19,2.884661133,0.109504542
4.188306154,4.621093608,2,0.005814176,22,2.065027116,0.217520734
4.163702483,4.623732947,2,0.038709896,23,2.998424077,0.075248818
4.155946361,4.617935825,2,0.01417491,20,2.741796565,0.13735963
4.168049321,4.59462139,2,0.027167336,22,2.862495337,0.105958404
4.187709529,4.640899817,2,0.028073122,19,2.826374276,0.122817946
4.193448491,4.648860543,2,0.023076784,22,2.893187363,0.09757971
4.22560941,4.643056129,2,0.021566655,21,2.865824289,0.105984303
4.191260867,4.627300582,2,0.023273198,22,-8.016174137,0.682061209
4.169185749,4.604271416,2,0.030591039,20,2.884912757,0.105033795
4.136825956,4.585120119,2,0.030152185,20,2.833787403,0.120369253
4.172822319,4.627783421,2,0.021822522,21,2.830080534,0.115781639
4.192141599,4.628218742,2,0.020855231,23,-37.22257966,1.074440061
4.19137451,4.629646832,2,0.029527415,20,2.808903195,0.12961446
4.219330644,4.660058158,2,0.025305744,22,2.751592072,0.126140936
4.182169441,4.633563538,2,0.039426163,20,2.914297029,0.095244932
4.208023183,4.653615916,2,0.033089817,20,2.863063139,0.112875172
4.155179272,4.596165213,2,0.045947585,20,2.937491316,0.085608093
4.191090403,4.653346893,2,0.024764512,22,-3.807651387,0.530718577
4.174271265,4.613079174,2,0.033319541,22,2.927796714,0.100509896
4.187908404,4.628714798,2,0.031805464,23,2.082251763,0.177645212
4.204954827,4.652201159,2,0.036973002,22,2.988451346,0.072481131
4.180862549,4.626318715,2,0.012288162,20,2.646664748,0.164203903
4.228905051,4.6800851,2,0.025570768,23,2.375796378,0.168186552
4.219842036,4.691466146,2,0.024597466,21,2.761509787,0.139182179
4.198846525,4.639223577,2,0.018294203,23,2.884405773,0.087315824
4.214813342,4.670569196,2,0.024234504,23,1.034928646,0.274935103
4.208335701,4.636840724,2,0.020691441,22,2.905786609,0.093236775
4.212710949,4.661897962,2,0.010866093,20,2.554765626,0.173168443
4.236717995,4.679754103,2,0.017089178,22,2.749822226,0.134405814
4.172822319,4.621892216,2,0.029909744,22,2.975840911,0.076454125
4.230581283,4.678457576,2,0.018665836,21,2.656590867,0.163631124
4.203307006,4.659711757,2,0.032895293,19,2.861537756,0.112548291
4.183476334,4.641280292,2,0.034754725,20,2.915336091,0.098011825
4.193732598,4.62831202,2,0.017118199,23,2.75953736,0.120913758
4.169725553,4.612466461,2,0.023204203,22,-39.88869768,1.353357623
4.191516563,4.636738744,2,0.036077404,22,2.994315705,0.080232542
4.201176203,4.651208722,2,0.017739634,21,2.785191194,0.134027155
4.218137394,4.651998664,2,0.028014273,20,2.84874401,0.11791336
