mean,std,median,D,xmin,alpha
4.207000398,4.732985668,2,0.012315737,15,6.4016055
4.217199841,4.774042295,2,0.015447497,15,6.511008368
4.166515143,4.691042802,2,0.020710727,17,6.513879303
4.241831922,4.819462146,2,0.012546172,15,6.3308102
4.185209387,4.724718203,2,0.009249186,21,6.525022256
4.233195068,4.770224423,2,0.013758447,15,6.516954286
4.203619524,4.737305234,2,0.009971203,16,6.481044306
4.236235013,4.791228425,2,0.018318897,15,6.442112227
4.178135121,4.731416595,2,0.013865305,15,6.523217518
4.192766634,4.744632438,2,0.015545743,15,6.382876705
4.176941872,4.722794746,2,0.011298079,18,6.015317964
4.237598727,4.796222381,2,0.016232432,21,6.429854193
4.179470424,4.713097418,2,0.007921511,15,6.319743188
4.204301381,4.784384072,2,0.01046529,15,6.385916568
4.225893517,4.814447004,2,0.012260077,16,6.118192753
4.223989999,4.767967006,2,0.009624963,15,6.171634403
4.200863685,4.73901484,2,0.008444812,15,6.411604468
4.192738224,4.721075333,2,0.01106177,16,6.313351254
4.21717143,4.781889587,2,0.01041449,16,6.382221656
4.207568612,4.736878946,2,0.007078418,15,6.475043202
4.196687312,4.740307919,2,0.009100412,15,6.464947441
4.22683107,4.716278228,2,0.012722239,15,6.549790886
4.198448775,4.76621714,2,0.007479039,15,6.348221631
4.23890562,4.792086193,2,0.008024998,17,6.217212639
4.229302801,4.763926019,2,0.012898583,16,6.646423116
4.228194784,4.797339368,2,0.014539517,15,6.26138533
4.200295471,4.761956451,2,0.007174415,19,6.215274585
4.16398659,4.720091329,2,0.009166995,15,6.372657463
4.22120575,4.768531941,2,0.018569897,15,6.421422631
4.217398716,4.751661257,2,0.009895237,19,6.088635527
4.208477754,4.810855619,2,0.007658319,15,6.322520479
4.211006307,4.761556519,2,0.009098492,15,6.486982874
4.212540485,4.777297846,2,0.012476626,15,6.444814307
4.225069606,4.785758957,2,0.022713184,15,6.400649226
4.18293653,4.73026349,2,0.010895474,15,6.462848359
4.223052446,4.79777959,2,0.010401671,15,6.312506303
4.253082562,4.794194848,2,0.009501879,15,6.340121732
4.205380988,4.688320418,2,0.012696855,16,6.837670624
