mean,std,median,D,xmin,lambda,beta
4.14301949,4.526685465,2,0.013354646,21,3.978003555,0.638589998
4.200920507,4.590371696,2,0.014815807,14,0.091973477,2.131445351
4.0785556,4.504058671,2,0.014433047,15,0.090073119,2.229717116
4.187595886,4.575292374,2,0.010923023,16,0.114325585,1.753105289
4.111483607,4.526781172,2,0.018436167,19,0.122527146,1.785940986
4.178248764,4.591790588,2,0.01508041,11,0.095771121,2.021438511
4.114523552,4.527128911,2,0.012709709,15,0.116171526,1.740186085
4.121768282,4.5328573,2,0.017215778,14,0.085130794,2.326953814
4.18572078,4.575188794,2,0.013107977,15,0.100564243,1.973058662
4.157025967,4.566642969,2,0.015890225,18,0.092997746,2.176621739
4.13696801,4.51643298,2,0.013695994,15,0.09622883,2.083426013
4.116966873,4.492328718,2,0.015251363,15,0.103232728,1.953107803
4.123728621,4.524450943,2,0.016720181,18,0.082484354,2.399630725
4.200210239,4.599396043,2,0.020024069,24,0.287961528,1.335276076
4.189044832,4.622710842,2,0.014577998,13,0.094731171,2.036048787
4.117904426,4.505215698,2,0.01259003,20,0.123142574,1.744542723
4.172566623,4.551639518,2,0.014873049,16,0.094040789,2.11896934
4.11321666,4.510746402,2,0.00941641,17,0.129589437,1.676425059
4.126456049,4.506002159,2,0.014604882,21,0.11186689,1.91050965
4.145746917,4.525236288,2,0.008155379,18,0.170379763,1.432667815
4.15875902,4.564352119,2,0.014415749,13,0.096527642,1.99640281
4.168106142,4.570570683,2,0.01241855,15,0.097238537,1.981574297
4.139723848,4.555230318,2,0.010754764,19,0.105646207,1.937894197
4.202397864,4.588468209,2,0.014543474,14,0.088453177,2.25834636
4.145633275,4.554739587,2,0.012997299,17,0.110444307,1.805560428
4.145150293,4.53270476,2,0.014644691,21,0.091351209,2.282298805
4.152423433,4.551381778,2,0.017088139,18,0.107015564,1.929482692
4.176572533,4.561278517,2,0.015984344,14,0.086505516,2.315461815
4.132280243,4.536772944,2,0.014482413,16,0.094300176,2.064296551
4.154781522,4.548208072,2,0.009608814,20,0.167373126,1.430064619
4.152167737,4.573723206,2,0.017400566,23,0.127881021,1.775466563
4.155321325,4.556062936,2,0.016694561,17,0.150065133,1.514550412
4.109693733,4.514050747,2,0.009961862,17,0.151958613,1.508555079
4.142081936,4.553451226,2,0.007432025,18,0.124373938,1.679160431
4.149781238,4.54203728,2,0.01795752,14,0.088296399,2.277348262
4.162594466,4.553395145,2,0.009870485,20,0.156192144,1.499355507
4.152480255,4.546877008,2,0.015883277,11,0.097025621,2.031034285
4.129268708,4.519499039,2,0.009744767,21,0.319251469,1.09793114
4.149213023,4.540003869,2,0.013639591,19,0.128932288,1.694447862
4.180578442,4.556812372,2,0.015935524,15,0.089371813,2.244426455
4.089607364,4.504215053,2,0.010658018,19,0.142301866,1.55368893
4.171572248,4.559531892,2,0.010067755,17,0.174614263,1.385649616
4.156173646,4.544570373,2,0.008511317,20,0.200137127,1.372295078
4.131910904,4.542969765,2,0.016124496,10,0.092634309,2.143635536
4.162395591,4.563738631,2,0.013736187,19,0.163299301,1.505551901
4.164213876,4.555442387,2,0.013555549,13,0.095096976,2.044809338
4.147764078,4.544951596,2,0.010924341,14,0.100697699,1.952298581
4.141741008,4.5294456,2,0.015680373,14,0.089004172,2.267835205
4.170350588,4.544032908,2,0.017718114,19,0.158357651,1.557459545
4.134354225,4.545374021,2,0.014228689,19,0.107742919,1.901955477
4.146286721,4.560643672,2,0.016209214,15,0.089290953,2.200272827
4.113443946,4.520712723,2,0.011645432,16,0.11928901,1.701446971
4.155747486,4.559585844,2,0.013604756,17,0.101593968,1.975503943
4.185862833,4.588412383,2,0.013991697,13,0.087209924,2.30724402
4.207369737,4.620095984,2,0.012525165,20,0.191332692,1.380675419
4.124353656,4.517948825,2,0.014581179,15,0.100061364,2.022177764
4.122989943,4.500742016,2,0.011611468,16,0.107225176,1.919279702
4.154866754,4.540449682,2,0.014174422,18,0.092461978,2.212738765
4.127194727,4.538818525,2,0.013522255,13,0.095896756,2.033810858
4.159497699,4.536862108,2,0.015938619,12,0.092094191,2.154758222
