mean,std,median,D,xmin,alpha,lambda
4.389169839,5.979721094,2,0.006539706,11,1.00000763,0.083104308
4.357406671,5.889964519,2,0.006453603,6,1.000000433,0.08408198
4.347860674,6.001237618,2,0.0093614,7,1.05169393,0.078964878
4.389539178,5.997717306,2,0.007276173,10,1.045315569,0.082120533
4.39405648,6.053820483,2,0.008645435,7,1.036853609,0.079155385
4.385732144,5.996925919,2,0.006354652,14,1.210539087,0.077218839
4.401130746,5.973323263,2,0.005279814,9,1.000007338,0.082762188
4.350360816,5.968393537,2,0.007560703,11,1.000011698,0.082157211
4.369225524,5.950435337,2,0.007995644,14,1.00000726,0.080950461
4.397181658,6.039854284,2,0.009347999,6,1.000002282,0.08096162
4.430763112,6.046660174,2,0.008578609,11,1.116474414,0.078890431
4.399852264,5.964834539,2,0.008257506,6,1.000000553,0.082682802
4.41175635,6.008563068,2,0.008176162,6,1.00000073,0.080450195
4.402210353,5.996411858,2,0.008456704,13,1.000009219,0.081821051
4.38757884,5.971689773,2,0.008951313,17,1.000152767,0.08359265
4.393260981,5.972179382,2,0.005336645,7,1.000000289,0.082966968
4.392579124,6.023537892,2,0.007403531,7,1.000003383,0.081588666
4.418177169,5.967233127,2,0.009776316,5,1.000001179,0.083638113
4.378771521,5.963128507,2,0.01098629,14,1.285969541,0.076152247
4.347519745,5.907042515,2,0.009685059,7,1.000000264,0.083714888
4.386101483,5.946646319,2,0.004750076,10,1.000004802,0.083954575
4.366498096,5.93475084,2,0.007054157,16,1.000004569,0.085249262
4.364537758,5.89978628,2,0.00592955,9,1.000011051,0.084805954
4.385476448,5.978154674,2,0.00462913,7,1.000000739,0.081975127
4.415563384,6.138273908,2,0.009584044,19,1.6024598,0.061909717
4.35053128,5.953284111,2,0.004980252,12,1.000005945,0.082339698
4.424569578,6.03349561,2,0.00763773,11,1.000027685,0.082472899
4.370901756,5.980433077,2,0.005895637,15,1.000017542,0.082257159
4.38397068,5.934629871,2,0.005990466,9,1.000007994,0.083922535
4.367719757,6.03529028,2,0.008826178,19,1.000015482,0.076813522
4.346667424,5.915517803,2,0.00563524,7,1.000002725,0.082124565
4.400051139,6.017989868,2,0.007407638,20,1.083333594,0.078554071
4.367123132,5.960478477,2,0.008791047,10,1.041241961,0.081022772
4.34044548,5.856207934,2,0.007535736,7,1.000013162,0.08565792
4.424086596,5.992278351,2,0.005869948,7,1.00000391,0.081895774
4.333541679,5.823068439,2,0.007301229,5,1.00000048,0.084525558
4.389283482,6.033643478,2,0.007894055,8,1.000076507,0.081632492
4.344394568,5.911960987,2,0.005749564,9,1.000003388,0.082335372
4.41377351,6.028329154,2,0.007290708,12,1.000012728,0.081893253
4.413489403,5.983741432,2,0.007435861,10,1.000014009,0.082396708
4.33237684,5.884710985,2,0.006657591,10,1.1819708,0.07822625
4.387862947,5.911839995,2,0.011774211,5,1.000000029,0.083250267
4.335104267,5.958877691,2,0.008430144,13,1.257779659,0.072799233
4.394965623,5.936495542,2,0.004879351,7,1.000000088,0.083734226
4.372151827,5.904625287,2,0.007923696,15,1.000037561,0.085092969
4.368799364,5.907293757,2,0.010483371,8,1.052432177,0.083298948
4.446957213,6.04846815,2,0.006526409,6,1.000007365,0.082065279
4.343826354,5.934657104,2,0.008233302,10,1.00000948,0.08304693
4.418262401,6.093188715,2,0.01084648,12,1.000001358,0.079409717
4.365674186,5.85999798,2,0.00650749,9,1.000001438,0.085445436
4.375333826,5.906179908,2,0.007733756,8,1.000005319,0.084082081
4.418745383,5.971962047,2,0.006545647,20,1.000003151,0.087504381
4.385419626,5.95613785,2,0.008078493,15,1.269311927,0.075052988
4.390448321,6.005743479,2,0.00659804,7,1.000000849,0.080936603
4.354196261,5.924389669,2,0.007708749,14,1.090283612,0.081274676
4.39442582,5.998350026,2,0.006194889,6,1.000004442,0.082224003
4.394255355,5.942887638,2,0.004814866,7,1.000003101,0.082802185
4.369538042,5.990580183,2,0.007471053,13,1.000019535,0.080997328
4.376669129,5.997428566,2,0.008212192,9,1.095506162,0.079262014
4.401386442,6.006406064,2,0.007293903,10,1.000003077,0.081427893
4.367179953,5.991491036,2,0.006497048,14,1.000039581,0.08159653
4.360645491,5.956253685,2,0.008235748,5,1.000000999,0.08254288
4.337774874,5.962678198,2,0.012233709,9,1.000034099,0.082525592
4.338882891,5.862206902,2,0.006200725,9,1.07523985,0.083026749
4.412608671,6.031855424,2,0.005943836,8,1.000003023,0.082262041
4.389311893,5.946061938,2,0.007994668,14,1.000048241,0.084429586
4.381214842,5.949965774,2,0.005058219,9,1.000010582,0.084440039
4.435252003,6.071762306,2,0.008243538,12,1.000012526,0.079017895
4.357150974,5.928493286,2,0.00684614,15,1.382458885,0.072595637
4.3787147,6.007712652,2,0.011235649,14,1.091420255,0.077596388
4.385448037,5.949633351,2,0.009763977,7,1.000001377,0.08370251
4.366384454,6.042821007,2,0.010497169,15,1.236664253,0.071956659
4.372464345,6.007592674,2,0.006124294,13,1.000051302,0.081505294
4.365390079,5.909227078,2,0.005840561,13,1.000003387,0.084615227
4.373004148,5.877786876,2,0.006906245,8,1.000000692,0.085438468
4.401443264,6.067951501,2,0.009514191,7,1.05869738,0.078385255
4.367492471,5.911961554,2,0.008956945,5,1.000000548,0.082947754
4.39647139,6.054509861,2,0.009286969,11,1.17239835,0.075220221
4.343457015,5.910503979,2,0.007681486,11,1.000004375,0.084080379
4.393289391,5.999551792,2,0.00753248,18,1.197335456,0.07508566
4.380419342,5.973091985,2,0.010913635,6,1.045443057,0.080881406
4.405250298,6.05048065,2,0.009790997,8,1.150025738,0.074868344
4.388289107,5.923289031,2,0.008354152,7,1.00000745,0.084754521
4.362719473,5.907314306,2,0.007447618,6,1.000002297,0.083907649
4.374595147,5.947441933,2,0.00875445,5,1.000000449,0.08181965
4.432524575,6.0640867,2,0.008512408,5,1.000002687,0.08112163
4.388033411,5.913597056,2,0.005995172,12,1.000073433,0.086266206
4.410932439,5.970841971,2,0.00454981,9,1.000005451,0.084196019
4.371015399,6.013371065,2,0.007313328,7,1.000004258,0.081243972
4.410591511,5.99691222,2,0.008127188,14,1.054677934,0.081409392
4.366867436,5.954630923,2,0.00776144,7,1.000011857,0.083900508
4.412892778,5.94575654,2,0.007145329,9,1.000010381,0.085323999
4.342377408,5.914780646,2,0.008124016,6,1.000000514,0.083483584
4.388118643,6.087167525,2,0.00874951,8,1.188604077,0.07338774
4.320444343,5.935781271,2,0.008496882,10,1.132647292,0.078364771
4.339990909,5.850463231,2,0.006245502,12,1.000011421,0.087949381
4.414000795,5.975776386,2,0.007910931,6,1.000002061,0.082837097
4.392152963,6.070901686,2,0.007911143,5,1.000001395,0.080332396
4.360105688,5.99544939,2,0.010021359,7,1.093736315,0.078194675
4.401471675,6.06841079,2,0.009473478,6,1.000001,0.081064319
4.392152963,6.029112169,2,0.007863878,14,1.43890804,0.069804457
4.347207228,5.857741592,2,0.005705244,7,1.000000529,0.084318756
4.352633672,5.946599092,2,0.008282352,9,1.000010739,0.083346499
4.397693051,6.021513537,2,0.004236194,10,1.000066914,0.082424155
4.388175465,6.043136597,2,0.00986404,9,1.086032154,0.078080212
4.383317234,5.924262703,2,0.009073831,9,1.000004028,0.08359818
4.378544235,5.935718015,2,0.007038937,10,1.000002393,0.08457753
4.406699244,6.001186267,2,0.006395139,9,1.00000417,0.0834207
4.366384454,5.983050633,2,0.007774633,10,1.000010849,0.082151259
4.357321439,6.052038121,2,0.010861151,8,1.198756005,0.073217984
4.398431729,6.012138964,2,0.010406302,9,1.099332027,0.078429027
4.374794022,5.910779809,2,0.005852736,15,1.000007918,0.084451041
4.354054208,5.942069755,2,0.007379124,17,1.662249996,0.06405424
4.422467186,6.040833816,2,0.005987614,11,1.000054392,0.082329517
4.357406671,5.958346962,2,0.008512103,10,1.000002106,0.082990668
4.353230297,5.909418355,2,0.005442399,9,1.000044312,0.084164216
4.370333542,6.029313826,2,0.010569655,6,1.054283225,0.07882209
4.385504858,6.017674039,2,0.008439353,8,1.013015604,0.081823342
4.348741406,5.954136031,2,0.008942447,10,1.157961228,0.077840985
4.402806978,6.119807416,2,0.008022211,9,1.030551259,0.079029409
4.376470254,5.943849599,2,0.009015169,6,1.000001893,0.084755635
4.403460424,5.919640707,2,0.005539636,11,1.000011378,0.085019774
4.39203932,5.959442182,2,0.006570181,6,1.000002646,0.083472712
4.369253935,5.996565599,2,0.004771493,13,1.000004753,0.080866546
4.348400477,5.993505977,2,0.008304153,10,1.170164162,0.076957757
4.399852264,6.012914108,2,0.006409489,7,1.000001364,0.082784199
4.386101483,5.888539116,2,0.006774468,5,1.000004524,0.083214647
4.432098415,6.085002217,2,0.00676308,10,1.000003894,0.080734975
4.359139724,6.013567616,2,0.006949591,9,1.019924799,0.081297996
4.384084323,5.871472617,2,0.006031069,10,1.000000552,0.086554105
4.353059833,5.909933327,2,0.010109397,10,1.000046014,0.084545316
4.392749588,6.008268044,2,0.00734842,9,1.000015999,0.08039856
4.381413717,5.914918767,2,0.005337147,9,1.000002876,0.082926794
