mean,std,median,D,xmin,lambda
3.234700835,5.67564214,1,0.016499775,23,0.059928045
3.288283425,5.963865918,1,0.018064025,25,0.051928571
3.295698619,6.023662945,1,0.016489693,35,0.051973082
3.215750895,5.603297481,1,0.026190828,25,0.059530378
3.24092278,5.79676188,1,0.027219544,26,0.055503325
3.27518609,5.853289357,1,0.021870841,44,0.057608557
3.270867663,5.967937011,1,0.022508507,30,0.052385366
3.271208591,6.018554381,1,0.030016687,24,0.055070065
3.261406898,5.865796975,1,0.031879017,26,0.054136853
3.266265129,5.852901078,1,0.029074729,28,0.052830586
3.304932098,6.081277452,1,0.02257233,29,0.052121597
3.269873288,5.829805487,1,0.024170926,24,0.057560628
3.278566964,5.968675097,1,0.024351191,26,0.052577464
3.280157964,5.965915371,1,0.029604973,26,0.054148411
3.251491562,5.798189948,1,0.036267517,23,0.055572496
3.309477811,6.014679512,1,0.023585211,23,0.054168701
3.294675834,5.92870502,1,0.020194089,23,0.055376683
3.266179897,5.769812069,1,0.026996445,36,0.057383501
3.321069379,5.932597225,1,0.03363955,43,0.06441118
3.253792829,5.769375557,1,0.020304329,30,0.058721031
3.311381328,6.014120694,1,0.029196736,32,0.052180402
3.296806637,6.00575103,1,0.017322925,24,0.05609879
3.259361327,5.86277266,1,0.019540262,24,0.055148319
3.284959373,5.862047096,1,0.021013774,27,0.055408011
3.25461674,5.760145406,1,0.025784067,30,0.055612291
3.230893801,5.58611035,1,0.024541228,23,0.063047375
3.304704813,5.852484768,1,0.025460599,23,0.061381644
3.250468777,5.693189442,1,0.032759501,21,0.059956958
3.293056424,5.823175538,1,0.034604578,40,0.061533945
3.239274959,5.613751011,1,0.03462759,39,0.066386805
3.29734644,5.837934661,1,0.019791144,28,0.058171937
3.310188079,6.070216648,1,0.022006049,32,0.050986842
3.272060913,5.969434487,1,0.023831566,26,0.052188516
3.262628558,5.769021957,1,0.021036261,42,0.065120218
3.314847435,6.237334142,1,0.016712111,24,0.04947417
3.318199898,5.948970837,1,0.021301329,25,0.054315499
3.328172055,6.159785661,1,0.033915668,24,0.054457727
3.273254162,5.873957471,1,0.013595519,24,0.054371341
3.308398204,5.975372629,1,0.013609944,26,0.056801662
3.302318314,6.028767972,1,0.029561575,23,0.057085545
3.235041764,5.87536638,1,0.0205798,27,0.052699254
3.279248821,6.041888044,1,0.02116642,28,0.051377315
3.337746463,6.091711694,1,0.024858861,30,0.052316218
3.262770612,5.741462445,1,0.021156012,28,0.060093607
3.291607478,5.741195986,1,0.01654704,26,0.060412435
3.31507472,6.022142744,1,0.022344366,40,0.049364653
3.326041252,5.987221345,1,0.023354704,27,0.055893532
3.321438718,6.165923767,1,0.036463719,23,0.054649683
3.233791693,5.709432794,1,0.035921311,36,0.061622555
3.219472697,5.566283291,1,0.024085977,26,0.061281161
3.23569521,5.673195155,1,0.024344311,24,0.059440269
3.294050798,5.971927467,1,0.029661578,29,0.052959751
3.344138872,6.319932233,1,0.028097558,23,0.050686105
3.256037275,5.710794749,1,0.031031523,24,0.055386869
3.292260924,5.992458165,1,0.028125824,31,0.052752125
3.299818171,6.085828111,1,0.017624403,25,0.054967427
3.300840957,5.913825629,1,0.020216144,24,0.058440569
3.272970055,5.996104821,1,0.028856486,26,0.053323533
3.291919995,6.029968347,1,0.018703782,27,0.052961433
3.266804932,6.03629719,1,0.030733149,34,0.050102522
3.273509859,5.846925896,1,0.032615021,29,0.057446318
3.331837036,5.972111977,1,0.023906149,36,0.055896798
3.255781578,5.738689626,1,0.03985526,23,0.05957361
3.284760498,5.914809071,1,0.016913392,26,0.053908086
3.275725894,5.920412452,1,0.01642756,30,0.053292393
3.247229956,5.86242208,1,0.018325278,24,0.054584039
3.25302574,5.939072992,1,0.031798646,24,0.055386773
3.26953236,5.788647205,1,0.018017729,26,0.053308398
3.296238423,6.022266112,1,0.03530813,24,0.053074957
3.272487073,5.792718508,1,0.026342285,25,0.0578908
3.253366669,5.76414497,1,0.022465788,26,0.058318794
3.315415649,6.178533687,1,0.025847055,23,0.05593241
3.31021649,6.087379499,1,0.018344718,25,0.053867577
3.29010171,6.050708997,1,0.021462128,23,0.054601294
3.264077504,5.85887306,1,0.022752456,38,0.05466579
3.265753736,5.924339087,1,0.024296113,48,0.049194812
3.241206887,5.706523585,1,0.024471714,25,0.058273931
3.280640946,5.957612622,1,0.024691167,27,0.054400887
3.272629127,5.910462887,1,0.022917992,25,0.053685278
3.254531507,5.786474283,1,0.026901937,38,0.060657916
3.334479232,5.948476564,1,0.014974518,28,0.055606833
