mean,std,median,D,xmin,mu,sigma
3.307347008,6.687791143,1,0.010501298,11,1.847173616,0.983595984
3.313370078,6.49193516,1,0.01446184,10,1.428027722,1.115850038
3.346610603,6.300303786,1,0.014053021,12,1.959236372,0.977623169
3.287146997,6.344220042,1,0.011089402,13,1.493089315,1.086127692
3.28527189,5.936216517,1,0.010403083,10,1.73686323,0.981150869
3.297232797,6.177899309,1,0.01206137,14,1.920560193,0.962922535
3.310983579,6.635664739,1,0.013782884,10,1.456365488,1.130823768
3.284334337,6.306399895,1,0.012392931,21,1.993408622,0.972322174
3.304932098,6.48330073,1,0.013552898,14,1.127515739,1.179067642
3.276521393,6.520532805,1,0.015100715,12,1.308413476,1.127664123
3.348883459,7.810682015,1,0.011331743,20,1.066370493,1.220274124
3.294164441,6.107393112,1,0.012392784,11,1.954051385,0.929001265
3.306892437,6.189028865,1,0.012921157,17,1.850936911,0.989203033
3.335700892,6.352621305,1,0.012221947,12,1.020489662,1.173142862
3.20106256,5.782484707,1,0.01383679,11,1.420252409,1.054038335
3.317290755,6.259848759,2,0.014657062,16,-0.331183509,1.419691679
3.241008012,5.818949866,1,0.010545342,11,2.061125773,0.89132093
3.271208591,6.472035161,1,0.013785504,12,1.301968389,1.141393329
3.282771748,6.166521196,1,0.017715315,12,1.572590468,1.064148765
3.293056424,6.179494351,1,0.011739586,12,1.872859074,0.979809282
3.297261208,5.934297432,1,0.010760253,10,1.919901935,0.931866366
3.319449969,6.149962464,1,0.014640907,18,1.448972106,1.071376955
3.386101483,6.587103578,1,0.01233579,12,1.802366206,1.015479575
3.265071879,6.158532363,1,0.01525543,17,1.553081232,1.07854672
3.287232229,6.744996193,1,0.015741346,15,1.901341293,0.989240394
3.323228593,6.148603035,1,0.016143627,10,1.86120578,0.968604963
3.315728166,6.740125714,1,0.011418149,11,1.244339029,1.151705274
3.372322291,6.733300874,1,0.00806502,12,2.050824547,0.938272661
3.299306779,6.505916138,1,0.012079633,10,1.313665165,1.143113734
3.299562475,6.527121346,1,0.013322681,14,0.6076249,1.292677335
3.326921984,6.104026305,1,0.011741036,10,1.851419598,0.95562909
3.24819592,6.067830125,1,0.009781957,10,1.818065205,0.979714058
3.346695835,6.664358,1,0.010439692,10,1.606945587,1.068981337
3.294846298,6.045474408,1,0.011556724,10,1.876728809,0.961908155
3.286038979,6.209558424,1,0.01080735,10,1.679498911,1.02490426
3.272060913,5.920253285,1,0.011090157,13,2.086588886,0.893451292
3.314904256,6.321054089,1,0.01357936,14,1.32388998,1.122262347
3.307176544,6.294676803,1,0.017430425,11,1.502026622,1.075945988
3.241490994,5.762604125,1,0.017157287,10,1.718384601,0.979665684
3.232513211,5.696854246,1,0.010366008,10,1.822400167,0.940131116
3.29612478,6.305449503,1,0.014630607,10,1.747694283,0.990795029
3.236803227,5.927462843,1,0.012177746,16,1.977371529,0.9493537
3.369509631,7.129818599,2,0.011277307,10,1.565708907,1.068671654
3.264929826,6.288028868,1,0.018987671,10,1.721661237,1.006295426
3.351980226,6.293854195,1,0.012369896,12,1.962350571,0.957421832
3.264645719,5.849344988,1,0.015666798,10,1.746564718,0.995887092
3.281550088,6.124190229,1,0.012773516,17,1.867037825,0.986888792
3.250156259,6.072671011,1,0.012212908,10,1.496045111,1.069811182
3.334592875,6.674488398,1,0.012547242,10,1.725296328,1.024464506
3.249076652,6.41541038,1,0.011965772,10,1.751628247,1.007917916
3.341042105,6.256079788,1,0.015297385,13,1.938907183,0.978507264
3.260952327,6.208240577,1,0.01329057,10,1.502774614,1.084296546
3.344025229,6.535863983,1,0.01435618,10,1.394733477,1.111169372
3.293993977,6.302694225,1,0.018559064,10,1.865441547,0.975513962
3.320188647,6.643708045,1,0.011007412,12,1.339132011,1.124886069
3.270611967,6.66666638,1,0.014035762,17,1.103791306,1.184398369
3.351923405,6.377537531,1,0.017766637,11,1.463982966,1.086991851
3.287743622,6.452824898,1,0.012677245,12,1.600319543,1.057284357
3.32314336,6.381218018,1,0.01214019,11,1.726465973,1.039770089
3.319364737,6.486759191,1,0.013271941,16,1.936630525,0.971732045
3.35413944,6.528186018,1,0.011645323,10,1.764165152,1.026810725
3.314705381,6.277113491,1,0.02324055,20,2.24299902,0.897616268
3.279959089,5.844319297,1,0.00992319,11,1.996458782,0.916160899
3.347889085,6.490918836,1,0.013903913,13,1.804499361,1.027792059
3.344593443,6.489483741,1,0.01135387,12,1.54767111,1.067478699
3.312688221,6.475136907,1,0.009982065,17,1.577267727,1.048887514
3.377833968,6.690690014,1,0.012250785,13,1.965141898,0.982724638
3.253736008,6.289005528,1,0.011826855,13,1.290299027,1.104418068
3.382976305,6.806865155,1,0.011540094,16,1.94415769,0.985049871
3.271322234,6.201442713,1,0.014864408,11,1.932935785,0.954085834
3.340900051,6.63560601,1,0.010927779,10,1.66942397,1.06072829
3.288283425,6.360140192,1,0.015519229,18,1.806672303,0.994917771
3.20629013,6.25247068,1,0.016666591,11,0.929072731,1.20137002
3.261975112,6.175560341,1,0.014346926,11,1.789486196,1.001798508
3.262628558,6.221735365,1,0.009973243,22,2.701906404,0.778153333
3.330672197,6.492873325,1,0.010479133,11,1.684732498,1.053914879
3.346411728,6.31951135,1,0.013455347,10,1.613751401,1.056264162
3.368003864,7.297241745,1,0.010406846,18,1.555678551,1.101058437
3.255383829,6.01359653,1,0.013215527,11,1.661172917,1.026093371
3.275356554,5.977064817,1,0.01112601,10,1.870376296,0.957370028
3.340104551,6.599622748,1,0.017275058,10,1.633872496,1.036280679
3.315642934,6.188896334,1,0.013766597,15,1.910585324,0.98672465
3.346042389,6.516530846,1,0.012309691,10,1.611625139,1.065053835
3.272231377,6.008473379,1,0.012545037,13,1.804313771,0.972831186
3.288141372,6.740170726,1,0.014295498,10,1.505379718,1.084873464
3.257088471,6.068333079,1,0.011019934,11,1.993088829,0.929857728
3.385533269,6.983356529,1,0.013436778,14,1.036469037,1.221947984
3.294789477,6.554165007,1,0.00902415,11,1.893658825,0.970103541
3.297289619,6.209331946,1,0.01120079,14,1.884921051,0.974787003
3.314023524,6.241243876,1,0.012551916,11,1.764434052,1.003141836
3.297460083,6.050964473,1,0.014487508,12,2.204017556,0.871287835
3.296210012,6.36457867,1,0.017337151,13,1.296259316,1.112924462
3.331837036,7.079352134,1,0.013632266,20,1.995697732,0.991815817
3.246945849,5.777022212,1,0.016157942,15,2.331425116,0.815693706
