mean,std,median,D,xmin,alpha
3.691573385,20.37007023,1,0.012389656,12,2.552501625
3.601681914,14.3236017,1,0.008863536,9,2.543298521
3.353059833,9.284438237,1,0.009954,7,2.649953692
3.409909654,9.969397209,1,0.007824425,7,2.595130741
3.573924655,15.19169435,1,0.007481746,7,2.564548376
3.491732485,12.01583219,1,0.004603665,9,2.627416447
3.415449741,11.07923346,1,0.006538336,8,2.611424314
3.549178931,13.7576641,1,0.008255963,7,2.571087
3.592817774,18.75851627,1,0.010771101,7,2.59897252
3.708875504,17.82228329,1,0.009859711,9,2.529547489
3.478123757,11.80055994,1,0.008061672,7,2.591621288
3.454770157,9.680423244,1,0.011954939,7,2.589575012
3.542530826,17.66916471,1,0.009384402,9,2.614790398
3.503664981,12.59816506,1,0.008097025,7,2.568741932
3.507727712,13.00710445,1,0.009356135,7,2.562798217
3.437098699,8.658184129,1,0.009352697,9,2.594952667
3.525825331,14.3092444,1,0.008069632,7,2.578226946
3.671941588,18.42497523,1,0.011960924,10,2.535261252
3.643701347,17.82729671,1,0.010915527,8,2.560224318
3.468776635,13.53331483,1,0.006991148,12,2.663570908
3.479544292,10.72384871,1,0.013909091,7,2.5703758
3.435053128,14.86312824,1,0.009346594,7,2.6263847
3.560486391,16.31570208,1,0.012261846,9,2.565715286
3.57213478,16.7221101,1,0.006911426,7,2.588502714
3.656940735,16.2758277,1,0.008885206,8,2.515458663
3.568611853,19.5923625,1,0.007157299,7,2.620345057
3.538581738,14.74444994,1,0.007225043,7,2.571554075
3.483436559,10.52617334,1.5,0.008633343,8,2.59148147
3.564293426,15.57045104,1,0.007697301,11,2.547588181
3.442411501,10.13189451,1,0.005705755,7,2.599341826
3.404824138,8.412957094,1,0.004488045,7,2.58353244
3.516279334,12.65279384,1,0.008390403,9,2.587053062
3.439456787,10.42206701,1,0.006182058,7,2.608682041
3.477527132,10.15111365,1,0.003926199,8,2.567088401
3.39482357,12.36889211,1,0.007930839,7,2.606079239
3.495425876,13.985258,1,0.01041998,7,2.577093308
3.499346554,13.72213921,1,0.006466659,7,2.594658467
3.462497869,9.764369776,1,0.004123534,7,2.574835608
3.594238309,17.00456759,1,0.007300748,7,2.549153799
3.569123246,15.47478545,1,0.010722926,7,2.590995225
3.682453548,18.55994031,1,0.005931621,12,2.508205411
