mean,std,median,D,xmin,lambda,beta
3.228223194,5.738094232,1,0.019567935,31,0.034919536,1.390912628
3.268537985,5.923196761,1,0.029080199,22,0.048341996,1.086754087
3.309307347,5.815045143,1,0.02172637,33,0.027820601,1.600027086
3.257429399,5.835073538,1,0.02213045,39,0.036740853,1.322119698
3.248536849,5.887030993,1,0.032699335,28,0.052608423,0.996623511
3.303824081,5.943463643,1,0.02997367,10,1.46328512,0.416232403
3.286266265,5.912442329,1,0.022993344,10,1.024214191,0.440858464
3.326808341,6.070292369,2,0.022649918,39,0.077732269,0.84959662
3.255412239,5.734196677,1,0.020366034,30,0.025763326,1.864804691
3.324649128,5.88106169,1,0.019738362,43,0.047719146,1.167248268
3.201375078,5.609006494,1,0.021497692,10,1.764061345,0.408157781
3.274163305,5.847519655,1,0.019755139,27,0.060449005,0.964151563
3.240610262,5.610497028,1,0.025396237,16,0.152457145,0.705985066
3.267657253,5.85570327,1,0.026666164,29,0.033969926,1.346411227
3.348230013,6.116212529,1,0.021994034,30,0.0284382,1.581341561
3.244417296,5.534148975,1,0.026690791,29,0.034105728,1.505241988
3.279447696,5.867219706,1,0.026152706,27,0.050275475,1.055138519
3.245582135,5.792124074,1,0.022365713,10,1.23370037,0.433307703
3.25745781,5.623389068,1,0.018353868,10,0.500737193,0.524334103
3.265583272,5.751446176,1,0.020719833,10,0.625233067,0.495740189
3.266179897,5.923430303,1,0.02216677,10,1.180449082,0.429907927
3.267657253,5.717677892,1,0.024819272,30,0.027973625,1.692600928
3.291238139,6.035934963,1,0.020917702,27,0.043084564,1.121654575
3.264759361,5.756424228,1,0.0238367,28,0.044877868,1.149674498
3.356611171,6.246489591,1,0.023293997,27,0.040200056,1.138697974
3.238394227,5.670705593,1,0.023866587,33,0.033539053,1.389118814
3.284305926,5.778296796,1,0.026833075,28,0.034845884,1.406290242
3.252826865,5.743373322,1,0.02233375,10,1.093829599,0.441540638
3.251605205,5.791301428,1,0.02239964,33,0.036546249,1.285936605
3.27640775,5.754706726,1,0.021336627,28,0.061205296,0.95923334
3.328740269,5.968669136,1,0.024603814,10,0.4489284,0.520292657
3.293084834,5.911944859,2,0.02921194,10,1.438858728,0.417745095
3.253054151,5.748653846,1,0.021297873,31,0.027125013,1.69813956
3.32675152,5.985044506,1,0.021802891,10,0.452766218,0.523844518
3.227910677,5.524909372,2,0.028915208,10,1.201472645,0.441799494
3.278879482,5.728170378,1,0.020130299,28,0.038196831,1.284003349
3.28322632,5.980567611,1,0.030200955,32,0.026633324,1.5445515
3.315898631,5.892126771,1,0.027792306,27,0.035005161,1.36543494
3.272515484,5.831434319,1,0.025859686,40,0.024335767,1.754025607
3.294391727,5.911298407,1,0.01883445,34,0.044742537,1.141770236
3.235070174,5.849877309,1,0.019394128,22,0.093005033,0.79462878
3.282771748,5.903567578,1,0.015625387,31,0.038047821,1.215811768
3.318995397,6.059167891,1,0.022014598,28,0.030856239,1.475202854
3.25703165,5.8974166,1,0.027294379,10,1.534353432,0.411895977
3.299505654,5.804793284,1,0.021354951,43,0.028911131,1.60848434
3.289561907,5.841770235,1,0.020918602,29,0.041287489,1.219668754
3.252883687,5.716700623,1,0.023582165,17,0.149914397,0.711140317
3.293340531,5.897292848,1,0.021654123,37,0.026551334,1.767171688
3.252457526,5.835186083,1,0.019717354,33,0.037758079,1.269094892
3.219302233,5.541039071,1,0.023457683,21,0.06353303,1.010910819
3.266009432,5.784524012,1,0.0261621,31,0.030302766,1.553913619
3.324478664,5.924825794,1,0.022617365,49,0.027980002,1.588122739
3.294874709,5.801865439,1,0.020470278,10,0.497864392,0.518227484
3.23569521,5.62972544,1,0.018459813,33,0.030384196,1.52306138
3.297857833,5.801862411,1,0.016551176,36,0.050608212,1.130046083
3.28163532,6.022310994,1,0.023320734,32,0.029405721,1.405648405
3.290300585,5.84841693,1,0.025922587,27,0.031951284,1.475395188
3.330530144,6.153556679,1,0.016893341,29,0.046830906,1.041819819
3.244047957,5.692724729,1,0.026241344,30,0.03758951,1.270713776
3.268367521,5.820913428,1,0.022990843,10,1.56065713,0.413628773
3.218961305,5.652778312,1,0.026555615,10,0.962239921,0.456504829
3.292829138,5.871381275,1,0.022373738,10,0.740894757,0.471154555
3.276038411,5.760164854,1,0.017835317,10,0.800230599,0.469216873
3.299051082,5.992182409,1,0.023085966,10,0.753895417,0.465265985
3.292289335,5.955965006,1,0.028935456,28,0.03118245,1.430754009
3.319421558,5.840590647,1,0.024555177,23,0.05731129,1.032995018
3.239189727,5.565327952,1,0.023957278,23,0.051882547,1.098218876
3.235212228,5.627259673,1,0.022094415,35,0.038613825,1.295475296
3.255525882,5.839340512,1,0.018491705,33,0.0468763,1.083806849
3.282146713,5.953035604,1,0.022475027,31,0.029129789,1.526485102
3.295840673,5.811088413,1,0.021855033,29,0.031491648,1.473300023
3.289192568,5.830794292,1,0.020901155,28,0.036232517,1.329771598
3.303056992,5.924679927,1,0.024539117,28,0.035437036,1.289416518
3.25100858,5.741295942,1,0.012153034,28,0.036366121,1.287612633
3.29129496,5.908916085,1,0.021786459,30,0.030050653,1.488312944
3.288311836,5.937464637,1,0.024022947,29,0.038306579,1.223808052
3.259304506,5.806064983,1,0.020159232,10,0.777081148,0.471073093
3.312517757,5.875680212,1,0.013591391,27,0.041310112,1.243327499
3.252912097,5.83481096,1,0.017016982,30,0.032360582,1.356632338
3.268055003,5.808783966,1,0.017251926,10,1.328092805,0.426359
3.226348088,5.602288636,1,0.02238452,10,1.007575523,0.452275707
3.260156827,5.985599192,1,0.023701912,48,0.055416345,1.045850899
3.245638957,5.605215313,1,0.023364627,30,0.029469944,1.676031358
3.270498324,5.883042865,1,0.016730939,27,0.033205636,1.363180027
3.271350645,5.760202633,1,0.020853922,43,0.028643994,1.701639449
3.308142508,6.034815478,1,0.020140848,10,0.533808574,0.498867869
3.24981533,5.612408564,1,0.027359032,32,0.029656104,1.62103351
3.261406898,5.846726365,1,0.02675956,25,0.043753593,1.167437938
3.24373544,5.739283176,1,0.017344183,30,0.034475322,1.339049266
3.238848798,5.730412967,1,0.019966216,28,0.038235847,1.257131208
3.27237343,5.915762238,1,0.022498982,43,0.050677328,1.08416376
3.261634184,5.920308151,1,0.024185302,10,2.075435336,0.388966822
3.289050514,5.949541603,1,0.022972141,32,0.029659292,1.520669283
3.275129269,5.822154599,1,0.023554465,10,0.537950764,0.506679683
3.284419569,5.873870008,1,0.02138648,33,0.028412095,1.593465412
3.218307858,5.638393412,1,0.031326625,30,0.034073517,1.355200897
3.291919995,5.861527679,1,0.014358378,29,0.035262186,1.338029744
3.214500824,5.664589706,1,0.026120318,26,0.042600886,1.189977848
3.313483721,6.011162176,1,0.019039847,29,0.034703,1.311854165
3.308284562,5.919271972,1,0.02457165,10,0.497150977,0.511846941
3.269901699,5.761875909,1,0.027918177,10,1.073410515,0.444119069
3.206204898,5.593868263,1,0.019715906,10,0.740989194,0.478054664
