mean,std,median,D,xmin,alpha,lambda
3.239132905,5.758823631,1,0.018038365,19,1.088916798,0.037990909
3.264674129,5.976511156,1,0.015215134,17,1.264016826,0.034340101
3.306437866,6.011081215,1,0.013342796,17,1.211235346,0.03520879
3.316552077,6.28326587,1,0.01762031,20,1.688904894,0.022182629
3.27518609,5.847753405,1,0.024576436,10,1.711505866,0.027116827
3.323029718,6.080191127,1,0.01380339,17,1.00009689,0.038644159
3.295045173,5.939561873,1,0.020469131,10,1.682888295,0.02741904
3.257258935,5.795704475,1,0.018054611,21,1.402319404,0.033082955
3.260895505,5.747245532,1,0.018300869,21,1.019232496,0.041287417
3.307261776,6.039267597,2,0.021007151,21,1.333192489,0.031733132
3.292772317,5.867903949,1,0.0170614,24,1.000052623,0.04149505
3.315358827,5.98410569,1,0.023077419,17,1.00001931,0.038269753
3.252770044,5.857490167,1,0.027093239,26,1.000112628,0.038872162
3.303255867,5.993829447,1,0.019389963,22,1.000014455,0.038050846
3.280612535,5.80188232,1,0.019900654,15,1.845788367,0.025159964
3.276549804,6.00651214,1,0.015978943,23,1.000008187,0.035346335
3.299619297,6.152230552,1,0.017301268,21,1.20646089,0.032196801
3.303568385,6.166421676,1,0.022040965,21,1.000028289,0.034717426
3.250326723,5.802890929,1,0.023588096,37,1.000071214,0.042914848
3.298085118,6.020842096,1,0.022808858,28,1.000072763,0.04109382
3.277856696,5.939632679,1,0.011696066,20,1.462193812,0.029107578
3.267003807,5.737438192,1,0.016110717,17,1.039249641,0.043872797
3.207710665,5.596445371,1,0.017176471,20,1.08539185,0.041534415
3.246661742,5.786915736,1,0.018582184,33,1.000152611,0.038245385
3.308710722,6.086655588,1,0.013927858,20,1.000035174,0.037280644
3.25904881,5.868092801,1,0.023135641,39,1.000017335,0.038026328
3.200437525,5.70749125,1,0.015791098,22,1.000006199,0.035677717
3.283709302,5.940197834,1,0.017432345,19,1.184185794,0.036188907
3.273367805,5.904984876,1,0.019200635,34,1.000036523,0.039713102
3.231462015,5.585445965,1,0.021634614,21,1.000024133,0.04107513
3.29413603,5.950378673,1,0.016356944,17,1.477244987,0.031435781
3.259730667,5.991554994,1,0.017100169,21,1.000089761,0.035639514
3.247201546,5.862532317,1,0.022910643,22,1.000035783,0.038476163
3.262031934,5.683935931,1,0.020628592,20,1.00000206,0.040794312
3.253338258,5.742207983,1,0.020059466,17,1.012954657,0.041739574
3.334337178,6.221733672,1,0.023293625,20,1.000047543,0.035754585
3.255241775,5.82234798,1,0.017576112,13,1.736409813,0.027485449
3.240695494,5.829414032,1,0.013628822,20,1.302669266,0.033395888
3.315017899,6.133153925,1,0.013428919,17,1.275470337,0.03281246
3.255781578,5.972887486,1,0.018750699,20,1.000050778,0.037362653
3.303966134,6.06643258,1,0.017466137,22,1.000007779,0.036535661
3.303966134,6.023466022,1,0.016611693,25,1.000004159,0.037661673
3.297460083,5.973761199,1,0.017117201,17,1.430115359,0.031269434
3.311296096,6.221803557,1,0.014102492,26,1.144882535,0.033774864
3.241405762,5.855141342,1,0.015570956,20,1.258942767,0.035017153
3.270611967,5.925555319,1,0.016768506,21,1.292143845,0.033219784
3.296352065,6.072276552,1,0.012732429,21,1.09919202,0.033586919
3.202710381,5.482588087,1,0.018853334,17,1.116594254,0.045047926
3.327348145,6.125972441,1,0.022792701,20,1.283007581,0.030876876
